15-Sep-2016 14:02:54 file filter skipping radar_archive/2015_201606/02/radar.IDR02.20150101.lz4 short filename
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010812Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010818Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010824Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010830Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010836Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010842Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010848Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010854Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010900Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010906Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010912Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010918Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010924Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010930Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010936Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010942Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010948Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501010954Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011000Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011006Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011012Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011018Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011024Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011030Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011036Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011042Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011048Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011054Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011100Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011106Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011112Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011118Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011124Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011130Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011136Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011142Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011148Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011154Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011200Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011206Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011212Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011218Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011224Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011230Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011236Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011242Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011248Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011254Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011300Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011306Melb.rapic is missing, skipping
15-Sep-2016 14:10:41 CAPPI check /tmp//tmp/201501011312Melb.rapic is missing, skipping
