OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
326,Substation,Stroud,132,Zone ,Stroud Road,New South Wales,Operational,20020101,Dungog.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.3476,151.928385
327,Substation,Bayswater,500,Power Station,Muswellbrook,New South Wales,Operational,20020101,Camberwell.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.399458,150.946099
328,Substation,Liddell,330,Power Station,Muswellbrook,New South Wales,Operational,20020101,Camberwell.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.371329,150.975082
329,Substation,Vales Point,330,Power Station,Mannering Park,New South Wales,Operational,19980101,lake_macq.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.159165,151.541665
330,Substation,Munmorah,333,Subtransmission ,Colongra,New South Wales,Operational,19980101,lake_macq.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.209801,151.540103
331,Substation,Eraring,330,Subtransmission ,Eraring,New South Wales,Operational,20070101,gosford.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.062598,151.515431
332,Substation,Coffs Harbour,330,Zone ,Karangi,New South Wales,Operational,20090101,Coffs_Harbour_9537_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-30.252837,153.036911
333,Substation,Kempsey,132,Zone ,South Kempsey,New South Wales,Operational,20090101,Kempsey_9435_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-31.098199,152.819301
334,Substation,Tamworth,132,Zone ,Hillvue,New South Wales,Operational,20040101,Tamworth.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-31.131347,150.924909
335,Substation,Tamworth,330,Zone ,Calala,New South Wales,Under Construction,20040101,Tamworth.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-31.146813,150.951367
336,Substation,Armidale,330,Zone ,Armidale,New South Wales,Operational,20090901,Armidale_2009_09_10cm.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-30.532699,151.712995
337,Substation,Maroubra,132,Zone ,Maroubra,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.94231,151.237998
338,Substation,Beaconsfield West,330,Bulk Supply Point,Alexandria,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.915068,151.187236
339,Substation,St Peters,132,Zone ,Erskineville,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.906613,151.183086
340,Substation,Marrickville,132,Zone ,Marrickville,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.912039,151.162297
341,Substation,Meadowbank,132,Zone ,Meadowbank,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.813618,151.09367
342,Substation,Macquarie Park,132,Zone ,Macquarie Park,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.786692,151.132807
343,Substation,Green Square,132,Zone ,Alexandria,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.912326,151.194463
344,Substation,Peakhurst,132,Subtransmission ,Mortdale,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.966294,151.062664
345,Substation,Haymarket,330,Zone ,Haymarket,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.881417,151.202247
346,Substation,Warrimoo,132,Transmission ,Warrimoo,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.733038,150.602967
347,Substation,Mount Druitt,132,Transmission ,North St Marys,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.76358,150.792082
348,Substation,Penrith,132,Zone ,Penrith,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.746586,150.692371
349,Substation,Macarthur,330,Bulk Supply Point,Menangle Park,New South Wales,Operational,20080101,Wollongong_9029_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.085282,150.766312
350,Substation,Liverpool,330,Terminal ,Prestons,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.932673,150.865773
351,Substation,Tallawarra,132,Power Station,Yallah,New South Wales,Operational,20080101,Wollongong_9029_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.522247,150.807154
352,Substation,Kangaroo Valley,330,Transmission ,Kangaroo Valley,New South Wales,Operational,20080101,Moss_Vale_8928_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.723801,150.481714
353,Substation,Lower Tumut,330,Terminal ,Talbingo,New South Wales,Operational,20080101,Yarrangobilly_8526_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.606473,148.288658
354,Substation,Jindabyne,66,Zone ,Jindabyne,New South Wales,Operational,19990101,Kosciusko.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-36.414757,148.598055
355,Substation,Forbes,132,Zone ,Forbes,New South Wales,Operational,20080101,Parkes_8531_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.365288,148.019662
356,Substation,Buronga,220,Terminal ,Wentworth,New South Wales,Operational,20090111,SPOTCOV_AUM_S35E142-A,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.10283,142.259513
357,Substation,Portland Aluminium,500,Terminal ,Portland,Victoria,Operational,20030101,Glenelg_hopkins_spot_col_2p5m_2003_GDA94.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.386862,141.62555
