OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
421,Substation,Narrogin,66,Zone ,Narrogin Valley,Western Australia,Operational,20051201,Narrogin_2332_Dec_2005_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-32.952641,117.19193
422,Substation,Boddington Gold Mine,132,Sole Use,Bannister,Western Australia,Operational,20080701,Dwellingup_2132_Jul_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-32.736396,116.359373
423,Substation,North Perth,132,Zone ,North Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.932164,115.849724
424,Substation,James Street,132,Zone ,Northbridge,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.947338,115.854141
425,Substation,Cook Street,132,Zone ,West Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.94674,115.838559
426,Substation,Milligan Street,132,Zone ,Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.9523,115.851727
427,Substation,Hay Street,132,Zone ,Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.95514,115.863012
428,Substation,Wellington Street,132,Zone ,Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.952933,115.864933
429,Substation,Forrest Avenue,132,Zone ,East Perth,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.957177,115.875568
430,Substation,Darlington,132,Zone ,Darlington,Western Australia,Operational,20080301,Wooroloo_2134_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.92609,116.069626
431,Substation,Midland Junction,132,Zone ,Midland,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.88943,116.013342
